sort,series,date,cfs
1,2025,2024-10-01T06:00:00.000Z,2532.146
2,2025,2024-10-02T06:00:00.000Z,2524.562
3,2025,2024-10-03T06:00:00.000Z,2521.114
4,2025,2024-10-04T06:00:00.000Z,2518.965
5,2025,2024-10-05T06:00:00.000Z,2511.988
6,2025,2024-10-06T06:00:00.000Z,2509.82
7,2025,2024-10-07T06:00:00.000Z,2456.261
8,2025,2024-10-08T06:00:00.000Z,2389.463
9,2025,2024-10-09T06:00:00.000Z,2324.537
10,2025,2024-10-10T06:00:00.000Z,2318.371
11,2025,2024-10-11T06:00:00.000Z,2314.923
12,2025,2024-10-12T06:00:00.000Z,2306.288
13,2025,2024-10-13T06:00:00.000Z,2298.054
14,2025,2024-10-14T06:00:00.000Z,2315.499
15,2025,2024-10-15T06:00:00.000Z,2318.665
16,2025,2024-10-16T06:00:00.000Z,2313.052
17,2025,2024-10-17T06:00:00.000Z,2317.274
18,2025,2024-10-18T06:00:00.000Z,2312.03
19,2025,2024-10-19T06:00:00.000Z,2315.066
20,2025,2024-10-20T06:00:00.000Z,2305.121
21,2025,2024-10-21T06:00:00.000Z,2317.662
22,2025,2024-10-22T06:00:00.000Z,2319.533
23,2025,2024-10-23T06:00:00.000Z,2323.76
24,2025,2024-10-24T06:00:00.000Z,2360.386
25,2025,2024-10-25T06:00:00.000Z,2296.507
26,2025,2024-10-26T06:00:00.000Z,2291.548
27,2025,2024-10-27T06:00:00.000Z,2288.729
28,2025,2024-10-28T06:00:00.000Z,2292.069
29,2025,2024-10-29T06:00:00.000Z,2308.235
30,2025,2024-10-30T06:00:00.000Z,2305.212
31,2025,2024-10-31T06:00:00.000Z,2298.015
32,2025,2024-11-01T06:00:00.000Z,2298.938
33,2025,2024-11-02T06:00:00.000Z,2297.875
34,2025,2024-11-03T06:00:00.000Z,2284.315
35,2025,2024-11-04T07:00:00.000Z,2297.072
36,2025,2024-11-05T07:00:00.000Z,2315.532
37,2025,2024-11-06T07:00:00.000Z,2320.399
38,2025,2024-11-07T07:00:00.000Z,2314.012
39,2025,2024-11-08T07:00:00.000Z,2304.302
40,2025,2024-11-09T07:00:00.000Z,2309.217
41,2025,2024-11-10T07:00:00.000Z,2309.345
42,2025,2024-11-11T07:00:00.000Z,2308.031
43,2025,2024-11-12T07:00:00.000Z,2284.734
44,2025,2024-11-13T07:00:00.000Z,2214.146
45,2025,2024-11-14T07:00:00.000Z,2215.671
46,2025,2024-11-15T07:00:00.000Z,2207.977
47,2025,2024-11-16T07:00:00.000Z,2208.252
48,2025,2024-11-17T07:00:00.000Z,2202.62
49,2025,2024-11-18T07:00:00.000Z,2194.986
50,2025,2024-11-19T07:00:00.000Z,2200.106
51,2025,2024-11-20T07:00:00.000Z,2211.492
52,2025,2024-11-21T07:00:00.000Z,2184.79
53,2025,2024-11-22T07:00:00.000Z,2186.9
54,2025,2024-11-23T07:00:00.000Z,2177.198
55,2025,2024-11-24T07:00:00.000Z,2174.513
56,2025,2024-11-25T07:00:00.000Z,2198.428
57,2025,2024-11-26T07:00:00.000Z,2217.766
58,2025,2024-11-27T07:00:00.000Z,2214.485
59,2025,2024-11-28T07:00:00.000Z,2199.373
60,2025,2024-11-29T07:00:00.000Z,2200.445
61,2025,2024-11-30T07:00:00.000Z,2200.3
62,2025,2024-12-01T07:00:00.000Z,2204.121
63,2025,2024-12-02T07:00:00.000Z,2198.345
64,2025,2024-12-03T07:00:00.000Z,2158.655
65,2025,2024-12-04T07:00:00.000Z,2159.433
66,2025,2024-12-05T07:00:00.000Z,2159.609
67,2025,2024-12-06T07:00:00.000Z,2157.728
68,2025,2024-12-07T07:00:00.000Z,2154.195
69,2025,2024-12-08T07:00:00.000Z,2158.79
70,2025,2024-12-09T07:00:00.000Z,2146.098
71,2025,2024-12-10T07:00:00.000Z,2184.979
72,2025,2024-12-11T07:00:00.000Z,2193.497
73,2025,2024-12-12T07:00:00.000Z,2194.815
74,2025,2024-12-13T07:00:00.000Z,2194.304
75,2025,2024-12-14T07:00:00.000Z,2195.701
76,2025,2024-12-15T07:00:00.000Z,2192.419
77,2025,2024-12-16T07:00:00.000Z,2193.074
78,2025,2024-12-17T07:00:00.000Z,2171.193
79,2025,2024-12-18T07:00:00.000Z,2169.445
80,2025,2024-12-19T07:00:00.000Z,2174.589
81,2025,2024-12-20T07:00:00.000Z,2170.301
82,2025,2024-12-21T07:00:00.000Z,2167.319
83,2025,2024-12-22T07:00:00.000Z,2165.542
84,2025,2024-12-23T07:00:00.000Z,2168.895
85,2025,2024-12-24T07:00:00.000Z,2164.318
86,2025,2024-12-25T07:00:00.000Z,2164.198
87,2025,2024-12-26T07:00:00.000Z,2163.982
88,2025,2024-12-27T07:00:00.000Z,2165.086
89,2025,2024-12-28T07:00:00.000Z,2166.362
90,2025,2024-12-29T07:00:00.000Z,2162.576
91,2025,2024-12-30T07:00:00.000Z,2167.482
92,2025,2024-12-31T07:00:00.000Z,2161.906
93,2025,2025-01-01T07:00:00.000Z,2163.279
94,2025,2025-01-02T07:00:00.000Z,2165.63
95,2025,2025-01-03T07:00:00.000Z,2165.988
96,2025,2025-01-04T07:00:00.000Z,2166.202
97,2025,2025-01-05T07:00:00.000Z,2165.297
98,2025,2025-01-06T07:00:00.000Z,2165.777
99,2025,2025-01-07T07:00:00.000Z,2166.535
100,2025,2025-01-08T07:00:00.000Z,2168.522
101,2025,2025-01-09T07:00:00.000Z,2160.564
102,2025,2025-01-10T07:00:00.000Z,2164.594
103,2025,2025-01-11T07:00:00.000Z,2163.902
104,2025,2025-01-12T07:00:00.000Z,2172.075
105,2025,2025-01-13T07:00:00.000Z,2181.143
106,2025,2025-01-14T07:00:00.000Z,2265.749
107,2025,2025-01-15T07:00:00.000Z,2298.851
108,2025,2025-01-16T07:00:00.000Z,2301.378
109,2025,2025-01-17T07:00:00.000Z,2295.893
110,2025,2025-01-18T07:00:00.000Z,2298.506
111,2025,2025-01-19T07:00:00.000Z,2296.651
112,2025,2025-01-20T07:00:00.000Z,2302.459
113,2025,2025-01-21T07:00:00.000Z,2298.443
114,2025,2025-01-22T07:00:00.000Z,2296.082
115,2025,2025-01-23T07:00:00.000Z,2301.444
116,2025,2025-01-24T07:00:00.000Z,2294.426
117,2025,2025-01-25T07:00:00.000Z,2298.364
118,2025,2025-01-26T07:00:00.000Z,2297.147
119,2025,2025-01-27T07:00:00.000Z,2297.775
120,2025,2025-01-28T07:00:00.000Z,2293.018
121,2025,2025-01-29T07:00:00.000Z,2294.858
122,2025,2025-01-30T07:00:00.000Z,2294.075
123,2025,2025-01-31T07:00:00.000Z,2292.941
124,2025,2025-02-01T07:00:00.000Z,2296.609
125,2025,2025-02-02T07:00:00.000Z,2291.464
126,2025,2025-02-03T07:00:00.000Z,2188.522
127,2025,2025-02-04T07:00:00.000Z,2293.672
128,2025,2025-02-05T07:00:00.000Z,2284.166
129,2025,2025-02-06T07:00:00.000Z,2267.243
130,2025,2025-02-07T07:00:00.000Z,2261.995
131,2025,2025-02-08T07:00:00.000Z,2261.083
132,2025,2025-02-09T07:00:00.000Z,2258.384
